"geneid"	"SRR2040653"	"SRR2040654"	"SRR2040655"	"SRR2040656"	"SRR2040657"	"SRR2040658"
"WBGene00169314"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048184"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167753"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050066"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167383"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050321"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168128"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171645"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046466"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167851"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173943"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172180"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171463"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045809"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047546"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165766"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050617"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169539"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047168"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049506"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170728"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170675"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047151"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167360"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050326"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173731"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174028"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165788"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049004"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174762"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165116"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173593"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166234"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050739"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165248"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169676"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173348"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169366"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00012893"	"2"	"0"	"0"	"1"	"0"	"0"
"WBGene00168492"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046923"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050473"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173963"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168106"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047048"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170499"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046957"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050311"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168865"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050684"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170749"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165363"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047138"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048176"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050832"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170537"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050445"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171435"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165764"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173553"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048814"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047845"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165875"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166715"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050483"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048879"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169986"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174118"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165427"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173261"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167580"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173938"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048494"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046994"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047651"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046316"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168071"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046551"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050638"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048918"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048361"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173205"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173186"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173214"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174070"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171093"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050305"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168308"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046535"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174001"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049068"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174653"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048726"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172606"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174941"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00010374"	"193"	"82"	"76"	"187"	"162"	"140"
"WBGene00045940"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174759"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048942"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047268"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046457"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174589"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171196"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048753"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166952"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047602"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050597"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174233"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046138"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174699"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173056"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170920"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050242"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174996"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167257"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170578"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048275"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165011"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049967"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169840"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050079"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048620"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046637"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048301"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047330"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167046"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00010373"	"31"	"17"	"24"	"18"	"11"	"27"
"WBGene00168003"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049130"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171237"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169621"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166090"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173829"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167461"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049330"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047944"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165607"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045993"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168109"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048775"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171259"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045739"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045585"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045552"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166163"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045587"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168929"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049894"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047096"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166131"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048681"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172331"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174984"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048034"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045933"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046469"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170043"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173406"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165728"	"1"	"0"	"0"	"0"	"0"	"0"
"WBGene00171255"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166235"	"8"	"0"	"0"	"3"	"3"	"0"
"WBGene00173438"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168493"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171729"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168956"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00007199"	"9"	"9"	"38"	"17"	"17"	"29"
"WBGene00045279"	"8"	"1"	"7"	"10"	"3"	"4"
"WBGene00007198"	"4"	"2"	"2"	"3"	"2"	"1"
"WBGene00047698"	"2"	"0"	"0"	"0"	"0"	"0"
"WBGene00045278"	"0"	"0"	"0"	"1"	"0"	"0"
"WBGene00174523"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172460"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049267"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171620"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167556"	"0"	"0"	"0"	"1"	"0"	"0"
"WBGene00007200"	"185"	"50"	"33"	"154"	"29"	"23"
"WBGene00050105"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172007"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165768"	"0"	"0"	"1"	"1"	"0"	"0"
"WBGene00050672"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048349"	"1"	"1"	"0"	"0"	"0"	"0"
"WBGene00169798"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046100"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165887"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050381"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171599"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170513"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174479"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167377"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165758"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173935"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050301"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049219"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167133"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00235301"	"83"	"63"	"0"	"47"	"41"	"1"
"WBGene00048639"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173673"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049202"	"0"	"0"	"1"	"0"	"0"	"0"
"WBGene00007197"	"209"	"126"	"111"	"150"	"86"	"106"
"WBGene00173667"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173135"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166995"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165581"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167438"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169831"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00009206"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166866"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167967"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167489"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173305"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165100"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165383"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173882"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049071"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173331"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170131"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049502"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046131"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046926"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168346"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170739"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167095"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046434"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172075"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168952"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173119"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046859"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047756"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169006"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048375"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049340"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170795"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174872"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047912"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00007196"	"5895"	"2613"	"3345"	"5695"	"4038"	"3614"
"WBGene00004443"	"15012"	"7947"	"124160"	"8585"	"124956"	"170032"
"WBGene00007195"	"1374"	"2818"	"2876"	"2973"	"4208"	"3344"
"WBGene00167180"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169100"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047017"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00001562"	"1794"	"635"	"316"	"1853"	"878"	"263"
"WBGene00048267"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047788"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049675"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047184"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167273"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165275"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047264"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045605"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050419"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168438"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049112"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172175"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172088"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174893"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050366"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169240"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168478"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050873"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047695"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168894"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050571"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047808"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172548"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049582"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050287"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048374"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174258"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049920"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174695"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171942"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174119"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172812"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047716"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174408"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049732"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00012536"	"57"	"22"	"17"	"21"	"10"	"18"
"WBGene00172575"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049099"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171904"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167161"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172979"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047838"	"0"	"1"	"0"	"0"	"0"	"0"
"WBGene00047107"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048180"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167021"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047426"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171070"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169701"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165703"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048875"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049734"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167426"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049623"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048072"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171438"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165896"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045853"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048059"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170527"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172261"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170417"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049685"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170093"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166489"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048634"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046663"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049946"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00012535"	"51"	"65"	"38"	"45"	"35"	"67"
"WBGene00172806"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174390"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046770"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046607"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048615"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172469"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167747"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048655"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049037"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172554"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174157"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050602"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045769"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169138"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173421"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166734"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169510"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045682"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167276"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00174834"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173610"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171392"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170846"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166545"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172875"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047617"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049872"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047578"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050444"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172101"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168677"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168454"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166816"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168331"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050296"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172459"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050726"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049418"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00169409"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00172777"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048809"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050094"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049731"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167578"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048332"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173133"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167778"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173694"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048123"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048196"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047677"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045995"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173132"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049861"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050113"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167698"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173244"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170883"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00046972"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166208"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00050467"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047054"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047948"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165591"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165258"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171399"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167085"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047468"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00170197"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048861"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165041"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167592"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045793"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166230"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049428"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165928"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00047836"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173507"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049612"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00167448"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049997"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049929"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045884"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171719"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045768"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045063"	"160"	"19"	"14"	"81"	"28"	"22"
"WBGene00172201"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048121"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048477"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166920"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00165548"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00048019"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168038"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00049145"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171624"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171535"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173532"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168873"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00173766"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00171944"	"0"	"0"	"0"	"0"	"0"	"0"
